datetime,gold_price_usd
12/29/78,226.0
1/1/79,226.0
1/2/79,226.8
1/3/79,218.6
1/4/79,223.2
1/5/79,225.5
1/8/79,223.1
1/9/79,224.0
1/10/79,220.7
1/11/79,220.7
1/12/79,217.6
1/15/79,216.9
1/16/79,220.7
1/17/79,227.3
1/18/79,231.8
1/19/79,230.6
1/22/79,235.0
1/23/79,230.0
1/24/79,236.1
1/25/79,233.9
1/26/79,235.5
1/29/79,235.2
1/30/79,233.5
1/31/79,233.7
2/1/79,229.4
2/2/79,230.3
2/5/79,243.1
2/6/79,244.5
2/7/79,251.6
2/8/79,250.5
2/9/79,246.8
2/12/79,244.3
2/13/79,240.6
2/14/79,240.7
2/15/79,247.8
2/16/79,247.1
2/19/79,248.1
2/20/79,247.0
2/21/79,250.8
2/22/79,252.4
2/23/79,251.0
2/26/79,248.6
2/27/79,247.9
2/28/79,251.3
3/1/79,248.8
3/2/79,248.0
3/5/79,238.2
3/6/79,239.8
3/7/79,242.3
3/8/79,239.2
3/9/79,241.0
3/12/79,240.0
3/13/79,239.1
3/14/79,239.5
3/15/79,240.1
3/16/79,244.0
3/19/79,242.3
3/20/79,242.1
3/21/79,239.9
3/22/79,242.9
3/23/79,242.5
3/26/79,245.3
3/27/79,244.4
3/28/79,244.4
3/29/79,241.5
3/30/79,240.1
4/2/79,239.7
4/3/79,240.0
4/4/79,239.8
4/5/79,240.7
4/6/79,239.8
4/9/79,240.2
4/10/79,239.8
4/11/79,238.4
4/12/79,234.0
4/13/79,234.0
4/16/79,234.0
4/17/79,231.9
4/18/79,233.2
4/19/79,240.9
4/20/79,236.4
4/23/79,236.9
4/24/79,239.7
4/25/79,241.8
4/26/79,242.2
4/27/79,243.7
4/30/79,245.3
5/1/79,247.3
5/2/79,246.3
5/3/79,246.5
5/4/79,248.5
5/7/79,248.5
5/8/79,249.0
5/9/79,248.0
5/10/79,252.3
5/11/79,251.5
5/14/79,251.0
5/15/79,255.5
5/16/79,256.5
5/17/79,256.8
5/18/79,256.4
5/21/79,262.0
5/22/79,265.4
5/23/79,264.2
5/24/79,263.8
5/25/79,270.6
5/28/79,270.6
5/29/79,273.8
5/30/79,270.3
5/31/79,274.6
6/1/79,275.1
6/4/79,272.9
6/5/79,274.8
6/6/79,280.0
6/7/79,276.1
6/8/79,280.0
6/11/79,282.4
6/12/79,277.8
6/13/79,276.6
6/14/79,279.0
6/15/79,280.0
6/18/79,278.0
6/19/79,280.3
6/20/79,281.4
6/21/79,282.3
6/22/79,283.5
6/25/79,283.9
6/26/79,281.5
6/27/79,281.8
6/28/79,275.9
6/29/79,277.5
7/2/79,282.5
7/3/79,281.4
7/4/79,283.5
7/5/79,288.3
7/6/79,290.3
7/9/79,287.9
7/10/79,290.5
7/11/79,290.3
7/12/79,290.8
7/13/79,287.5
7/16/79,292.8
7/17/79,296.3
7/18/79,302.2
7/19/79,299.2
7/20/79,298.8
7/23/79,304.9
7/24/79,305.3
7/25/79,303.4
7/26/79,305.2
7/27/79,305.8
7/30/79,301.4
7/31/79,296.5
8/1/79,290.1
8/2/79,291.5
8/3/79,286.5
8/6/79,282.7
8/7/79,285.1
8/8/79,289.0
8/9/79,297.1
8/10/79,303.8
8/13/79,298.8
8/14/79,292.0
8/15/79,301.9
8/16/79,297.9
8/17/79,300.6
8/20/79,298.8
8/21/79,300.5
8/22/79,311.0
8/23/79,310.1
8/24/79,314.8
8/27/79,314.8
8/28/79,316.8
8/29/79,315.2
8/30/79,319.2
8/31/79,315.1
9/3/79,322.9
9/4/79,325.0
9/5/79,329.0
9/6/79,335.5
9/7/79,329.2
9/10/79,336.3
9/11/79,339.5
9/12/79,337.1
9/13/79,333.0
9/14/79,345.8
9/17/79,351.8
9/18/79,375.8
9/19/79,369.0
9/20/79,380.0
9/21/79,369.0
9/24/79,380.4
9/25/79,376.7
9/26/79,373.8
9/27/79,395.5
9/28/79,397.3
10/1/79,414.8
10/2/79,426.0
10/3/79,402.0
10/4/79,384.0
10/5/79,385.0
10/8/79,372.0
10/9/79,385.8
10/10/79,413.0
10/11/79,401.5
10/12/79,395.0
10/15/79,402.9
10/16/79,394.3
10/17/79,386.0
10/18/79,380.5
10/19/79,393.0
10/22/79,392.0
10/23/79,385.0
10/24/79,395.0
10/25/79,391.8
10/26/79,375.0
10/29/79,374.0
10/30/79,377.6
10/31/79,382.0
11/1/79,378.5
11/2/79,372.8
11/5/79,381.0
11/6/79,384.3
11/7/79,395.0
11/8/79,389.5
11/9/79,389.5
11/12/79,393.3
11/13/79,387.2
11/14/79,390.0
11/15/79,386.0
11/16/79,390.4
11/19/79,389.9
11/20/79,387.8
11/21/79,396.2
11/22/79,393.2
11/23/79,392.0
11/26/79,395.3
11/27/79,393.8
11/28/79,411.2
11/29/79,411.7
11/30/79,415.7
12/3/79,428.8
12/4/79,431.2
12/5/79,426.4
12/6/79,433.8
12/7/79,430.4
12/10/79,431.2
12/11/79,445.5
12/12/79,446.3
12/13/79,458.8
12/14/79,456.8
12/17/79,469.5
12/18/79,477.8
12/19/79,488.5
12/20/79,471.5
12/21/79,473.1
12/24/79,473.1
12/25/79,473.1
12/26/79,473.1
12/27/79,473.1
12/28/79,512.0
12/31/79,512.0
1/1/80,512.0
1/2/80,559.5
1/3/80,634.0
1/4/80,588.0
1/7/80,633.5
1/8/80,610.0
1/9/80,607.2
1/10/80,602.9
1/11/80,623.0
1/14/80,660.0
1/15/80,684.0
1/16/80,760.0
1/17/80,750.0
1/18/80,835.0
1/21/80,850.0
1/22/80,737.5
1/23/80,695.0
1/24/80,717.0
1/25/80,668.0
1/28/80,624.0
1/29/80,674.3
1/30/80,691.0
1/31/80,653.0
2/1/80,676.5
2/4/80,669.8
2/5/80,682.0
2/6/80,709.0
2/7/80,699.3
2/8/80,692.0
2/11/80,710.5
2/12/80,694.5
2/13/80,696.8
2/14/80,682.0
2/15/80,667.0
2/18/80,661.5
2/19/80,652.3
2/20/80,606.0
2/21/80,665.0
2/22/80,630.0
2/25/80,616.5
2/26/80,642.3
2/27/80,636.0
2/28/80,646.0
2/29/80,637.0
3/3/80,633.8
3/4/80,631.3
3/5/80,643.5
3/6/80,626.0
3/7/80,609.0
3/10/80,585.0
3/11/80,570.3
3/12/80,585.7
3/13/80,556.5
3/14/80,523.0
3/17/80,484.0
3/18/80,481.5
3/19/80,527.0
3/20/80,561.0
3/21/80,525.0
3/24/80,558.3
3/25/80,547.3
3/26/80,507.5
3/27/80,485.3
3/28/80,490.0
3/31/80,494.5
4/1/80,509.5
4/2/80,500.5
4/3/80,485.8
4/4/80,485.8
4/7/80,485.8
4/8/80,528.0
4/9/80,554.0
4/10/80,526.0
4/11/80,530.5
4/14/80,529.8
4/15/80,497.5
4/16/80,520.0
4/17/80,513.0
4/18/80,515.6
4/21/80,506.0
4/22/80,502.4
4/23/80,506.5
4/24/80,515.7
4/25/80,551.5
4/28/80,524.3
4/29/80,513.8
4/30/80,518.0
5/1/80,490.0
5/2/80,512.5
5/5/80,512.5
5/6/80,512.5
5/7/80,510.0
5/8/80,515.8
5/9/80,508.3
5/12/80,513.3
5/13/80,512.0
5/14/80,525.0
5/15/80,517.0
5/16/80,516.5
5/19/80,513.8
5/20/80,507.8
5/21/80,513.5
5/22/80,501.0
5/23/80,511.3
5/26/80,511.3
5/27/80,514.8
5/28/80,526.5
5/29/80,519.6
5/30/80,535.5
6/2/80,561.5
6/3/80,552.5
6/4/80,571.5
6/5/80,581.8
6/6/80,597.0
6/9/80,623.8
6/10/80,604.0
6/11/80,596.0
6/12/80,590.0
6/13/80,608.4
6/16/80,595.0
6/17/80,591.8
6/18/80,602.5
6/19/80,599.0
6/20/80,602.9
6/23/80,596.5
6/24/80,603.0
6/25/80,622.5
6/26/80,624.5
6/27/80,637.5
6/30/80,653.5
7/1/80,660.0
7/2/80,661.5
7/3/80,663.5
7/4/80,666.5
7/7/80,667.5
7/8/80,687.5
7/9/80,671.0
7/10/80,656.5
7/11/80,667.0
7/14/80,650.0
7/15/80,619.5
7/16/80,624.8
7/17/80,627.3
7/18/80,606.0
7/21/80,617.5
7/22/80,613.0
7/23/80,631.3
7/24/80,643.0
7/25/80,651.8
7/28/80,643.5
7/29/80,646.8
7/30/80,629.0
7/31/80,614.3
8/1/80,622.0
8/4/80,630.8
8/5/80,630.5
8/6/80,627.8
8/7/80,629.5
8/8/80,630.0
8/11/80,617.0
8/12/80,605.0
8/13/80,615.3
8/14/80,626.0
8/15/80,624.5
8/18/80,612.3
8/19/80,624.0
8/20/80,634.8
8/21/80,645.3
8/22/80,639.2
8/25/80,639.2
8/26/80,628.9
8/27/80,633.9
8/28/80,635.3
8/29/80,631.3
9/1/80,628.8
9/2/80,640.0
9/3/80,636.8
9/4/80,647.3
9/5/80,651.0
9/8/80,672.0
9/9/80,670.5
9/10/80,686.5
9/11/80,674.0
9/12/80,685.5
9/15/80,666.5
9/16/80,668.0
9/17/80,673.0
9/18/80,672.0
9/19/80,674.0
9/22/80,710.0
9/23/80,711.0
9/24/80,710.5
9/25/80,697.8
9/26/80,698.8
9/29/80,679.3
9/30/80,666.8
10/1/80,682.0
10/2/80,665.8
10/3/80,660.5
10/6/80,675.5
10/7/80,678.2
10/8/80,677.0
10/9/80,690.0
10/10/80,685.3
10/13/80,679.8
10/14/80,668.5
10/15/80,678.0
10/16/80,674.0
10/17/80,670.5
10/20/80,657.0
10/21/80,652.5
10/22/80,660.0
10/23/80,634.5
10/24/80,633.0
10/27/80,637.3
10/28/80,631.8
10/29/80,644.0
10/30/80,642.5
10/31/80,629.0
11/3/80,640.5
11/4/80,646.0
11/5/80,652.0
11/6/80,632.0
11/7/80,596.0
11/10/80,612.5
11/11/80,598.5
11/12/80,619.5
11/13/80,622.0
11/14/80,612.5
11/17/80,611.8
11/18/80,619.0
11/19/80,629.8
11/20/80,630.5
11/21/80,634.8
11/24/80,631.0
11/25/80,616.3
11/26/80,623.0
11/27/80,622.0
11/28/80,619.8
12/1/80,635.0
12/2/80,627.0
12/3/80,627.3
12/4/80,631.5
12/5/80,617.0
12/8/80,617.3
12/9/80,604.0
12/10/80,579.0
12/11/80,558.0
12/12/80,562.8
12/15/80,579.0
12/16/80,561.0
12/17/80,575.5
12/18/80,573.5
12/19/80,575.0
12/22/80,594.8
12/23/80,602.5
12/24/80,602.5
12/25/80,602.5
12/26/80,602.5
12/29/80,593.8
12/30/80,589.8
12/31/80,589.8
1/1/81,589.8
1/2/81,589.8
1/5/81,597.5
1/6/81,599.3
1/7/81,585.0
1/8/81,574.8
1/9/81,577.8
1/12/81,562.0
1/13/81,562.8
1/14/81,556.5
1/15/81,571.5
1/16/81,560.8
1/19/81,566.8
1/20/81,562.0
1/21/81,578.0
1/22/81,564.0
1/23/81,553.0
1/26/81,528.5
1/27/81,524.0
1/28/81,523.5
1/29/81,493.8
1/30/81,506.5
2/2/81,493.5
2/3/81,486.3
2/4/81,505.0
2/5/81,498.5
2/6/81,500.5
2/9/81,512.5
2/10/81,519.5
2/11/81,501.0
2/12/81,490.3
2/13/81,491.5
2/16/81,490.3
2/17/81,500.8
2/18/81,505.0
2/19/81,503.3
2/20/81,511.5
2/23/81,501.5
2/24/81,503.0
2/25/81,500.5
2/26/81,492.0
2/27/81,489.0
3/2/81,465.5
3/3/81,471.0
3/4/81,465.5
3/5/81,461.5
3/6/81,467.0
3/9/81,474.3
3/10/81,487.3
3/11/81,476.3
3/12/81,478.0
3/13/81,492.0
3/16/81,499.8
3/17/81,493.3
3/18/81,506.0
3/19/81,510.0
3/20/81,516.8
3/23/81,526.0
3/24/81,536.3
3/25/81,528.0
3/26/81,539.5
3/27/81,538.8
3/30/81,526.5
3/31/81,513.8
4/1/81,514.3
4/2/81,519.5
4/3/81,523.0
4/6/81,533.8
4/7/81,514.3
4/8/81,508.5
4/9/81,503.0
4/10/81,493.5
4/13/81,473.8
4/14/81,483.0
4/15/81,476.3
4/16/81,482.5
4/17/81,482.5
4/20/81,482.5
4/21/81,481.0
4/22/81,501.0
4/23/81,488.5
4/24/81,494.5
4/27/81,483.0
4/28/81,482.8
4/29/81,477.3
4/30/81,482.8
5/1/81,487.5
5/4/81,487.5
5/5/81,476.3
5/6/81,482.0
5/7/81,477.8
5/8/81,485.8
5/11/81,493.0
5/12/81,484.0
5/13/81,484.3
5/14/81,476.5
5/15/81,485.0
5/18/81,481.8
5/19/81,481.5
5/20/81,479.8
5/21/81,475.0
5/22/81,472.8
5/25/81,472.8
5/26/81,466.5
5/27/81,466.8
5/28/81,479.0
5/29/81,479.3
6/1/81,483.3
6/2/81,474.0
6/3/81,475.5
6/4/81,462.5
6/5/81,460.0
6/8/81,473.5
6/9/81,460.5
6/10/81,465.3
6/11/81,464.3
6/12/81,472.0
6/15/81,471.8
6/16/81,461.5
6/17/81,461.8
6/18/81,459.0
6/19/81,458.3
6/22/81,462.0
6/23/81,466.5
6/24/81,462.0
6/25/81,446.5
6/26/81,442.0
6/29/81,428.8
6/30/81,426.0
7/1/81,422.0
7/2/81,414.5
7/3/81,414.0
7/6/81,403.8
7/7/81,405.0
7/8/81,397.8
7/9/81,406.3
7/10/81,416.5
7/13/81,413.0
7/14/81,402.3
7/15/81,412.3
7/16/81,418.3
7/17/81,415.0
7/20/81,412.5
7/21/81,406.0
7/22/81,411.5
7/23/81,407.8
7/24/81,407.5
7/27/81,408.8
7/28/81,401.5
7/29/81,401.5
7/30/81,402.3
7/31/81,406.0
8/3/81,392.5
8/4/81,391.3
8/5/81,392.4
8/6/81,393.3
8/7/81,397.3
8/10/81,393.8
8/11/81,401.0
8/12/81,417.5
8/13/81,407.3
8/14/81,413.0
8/17/81,411.5
8/18/81,420.0
8/19/81,431.5
8/20/81,429.0
8/21/81,429.5
8/24/81,422.0
8/25/81,409.8
8/26/81,414.0
8/27/81,411.8
8/28/81,425.0
8/31/81,425.0
9/1/81,421.5
9/2/81,430.0
9/3/81,436.5
9/4/81,439.5
9/7/81,436.5
9/8/81,439.0
9/9/81,436.8
9/10/81,451.5
9/11/81,448.3
9/14/81,451.3
9/15/81,456.0
9/16/81,449.0
9/17/81,459.0
9/18/81,447.0
9/21/81,463.5
9/22/81,462.0
9/23/81,456.5
9/24/81,446.3
9/25/81,450.5
9/28/81,421.5
9/29/81,431.8
9/30/81,428.8
10/1/81,436.8
10/2/81,435.0
10/5/81,441.3
10/6/81,443.0
10/7/81,445.5
10/8/81,443.3
10/9/81,453.5
10/12/81,449.5
10/13/81,443.3
10/14/81,444.3
10/15/81,446.7
10/16/81,443.8
10/19/81,436.7
10/20/81,437.3
10/21/81,429.0
10/22/81,433.8
10/23/81,432.5
10/26/81,426.0
10/27/81,427.4
10/28/81,430.8
10/29/81,424.5
10/30/81,427.0
11/2/81,430.0
11/3/81,428.3
11/4/81,431.3
11/5/81,428.5
11/6/81,428.3
11/9/81,429.8
11/10/81,418.5
11/11/81,412.0
11/12/81,411.5
11/13/81,412.5
11/16/81,404.3
11/17/81,398.8
11/18/81,403.8
11/19/81,401.0
11/20/81,401.5
11/23/81,396.8
11/24/81,399.3
11/25/81,409.5
11/26/81,409.5
11/27/81,411.5
11/30/81,414.5
12/1/81,402.5
12/2/81,406.8
12/3/81,416.5
12/4/81,426.0
12/7/81,416.8
12/8/81,415.3
12/9/81,410.3
12/10/81,405.5
12/11/81,409.8
12/14/81,417.5
12/15/81,413.3
12/16/81,416.8
12/17/81,416.3
12/18/81,415.8
12/21/81,410.5
12/22/81,399.6
12/23/81,400.4
12/24/81,400.4
12/25/81,400.4
12/28/81,400.4
12/29/81,395.0
12/30/81,397.5
12/31/81,397.5
1/1/82,397.5
1/4/82,395.0
1/5/82,403.5
1/6/82,401.5
1/7/82,396.5
1/8/82,400.3
1/11/82,388.3
1/12/82,389.0
1/13/82,380.0
1/14/82,374.8
1/15/82,379.3
1/18/82,373.8
1/19/82,375.3
1/20/82,371.5
1/21/82,376.0
1/22/82,377.3
1/25/82,372.0
1/26/82,376.5
1/27/82,381.8
1/28/82,383.5
1/29/82,387.0
2/1/82,379.5
2/2/82,379.2
2/3/82,378.0
2/4/82,383.8
2/5/82,384.3
2/8/82,379.8
2/9/82,378.5
2/10/82,382.2
2/11/82,380.0
2/12/82,377.5
2/15/82,375.3
2/16/82,375.3
2/17/82,374.0
2/18/82,369.3
2/19/82,369.3
2/22/82,364.3
2/23/82,361.0
2/24/82,362.8
2/25/82,366.5
2/26/82,362.6
3/1/82,361.3
3/2/82,361.3
3/3/82,353.8
3/4/82,346.5
3/5/82,342.4
3/8/82,330.5
3/9/82,329.3
3/10/82,333.0
3/11/82,331.8
3/12/82,323.3
3/15/82,312.0
3/16/82,324.5
3/17/82,316.0
3/18/82,320.0
3/19/82,315.8
3/22/82,320.8
3/23/82,329.3
3/24/82,331.8
